,Audit Round,Collection Number,Council,Location,Latitude,Longitude,Date,Time,Traffic_Count_Total,Butts bits/packs/matches/lighters Glass,Butts bits/packs/matches/lighters Metal,Butts bits/packs/matches/lighters Paper,Butts bits/packs/matches/lighters Plastic,Butts bits/packs/matches/lighters Total,Beverage - Alcohol Glass,Beverage - Alcohol Metal,Beverage - Alcohol Paper,Beverage - Alcohol Plastic,Beverage - Alcohol Total,Beverage - Milk Glass,Beverage - Milk Metal,Beverage - Milk Paper,Beverage - Milk Plastic,Beverage - Milk Total,Beverage - Non Alcohol Glass,Beverage - Non Alcohol Metal,Beverage - Non Alcohol Paper,Beverage - Non Alcohol Plastic,Beverage - Non Alcohol Total,Beverage bits Glass,Beverage bits Metal,Beverage bits Paper,Beverage bits Plastic,Beverage bits Total,Lolly/ice cream/snack/wraps Glass,Lolly/ice cream/snack/wraps Metal,Lolly/ice cream/snack/wraps Paper,Lolly/ice cream/snack/wraps Plastic,Food wrap/Film Glass,Food wrap/Film Metal,Food wrap/Film Paper,Food wrap/Film Plastic,Food wrap/Film Total,Take away pack/plates/clams/bags Glass,Take away pack/plates/clams/bags Metal,Take away pack/plates/clams/bags Paper,Take away pack/plates/clams/bags Plastic,Take away pack/plates/clams/bags Total,Utensils/straws/sticks/bread ties/bits Glass,Utensils/straws/sticks/bread ties/bits Metal,Utensils/straws/sticks/bread ties/bits Paper,Utensils/straws/sticks/bread ties/bits Plastic,Utensils/straws/sticks/bread ties/bits Total,Receipts/tickets/paper pieces Glass,Receipts/tickets/paper pieces Metal,Receipts/tickets/paper pieces Plastic,Receipts/tickets/paper pieces Total,Personal/toys/sports gear/hair clips Glass,Personal/toys/sports gear/hair clips Metal,Personal/toys/sports gear/hair clips Paper,Personal/toys/sports gear/hair clips Plastic,Personal/toys/sports gear/hair clips Total,Other Glass,Other Metal,Other Paper,Other Plastic,Other Total,Total Glass,Total Metal,Total Paper,Total Plastic,Total Waste In Council
10,Round 1,Site 11,Maranoa RC,Carnarvon Hwy,-26.197053,148.703538,2014-10-13,11.20 am,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,3,71,0,0,0,2,0,0,1,0,1,0,0,1,1,2,0,0,0,15,15,0,0,0,0,0,0,0,2,2,0,0,0,14,14,68,0,2,37,107
11,Round 1,Site 12,Maranoa RC,Carnarvon Hwy,-26.658199,148.875451,2014-10-13,9.10 am,9,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,123,0,0,0,123,0,0,1,3,0,0,1,1,2,0,0,1,1,2,0,0,0,1,1,0,0,0,0,2,0,0,0,2,1,0,0,0,1,127,0,3,7,137
12,Round 1,Site 13,Balonne SC,Carnarvon Hwy,-27.68305,148.81744,2014-10-14,2.30 pm,7,0,0,0,0,0,51,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,5,0,5,51,1,7,4,63
13,Round 1,Site 14,Balonne SC,Carnarvon Hwy,-28.34238,148.83122,2014-10-14,11.30 am,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,9,20,0,0,0,1,1,0,0,1,2,0,0,1,9,10,0,0,2,8,10,0,0,0,6,6,0,0,0,0,0,0,5,0,5,6,2,26,7,41,17,2,36,42,97
14,Round 1,Site 15,Balonne SC,Carnarvon Hwy,-28.945315,148.9741,2014-10-14,9.15 am,3,0,0,0,0,0,11,0,0,2,13,0,0,0,2,2,8,0,0,1,9,3,0,0,0,3,0,0,0,0,0,0,0,7,7,0,0,0,1,1,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,20,42
15,Round 1,Site 16,Maranoa RC,Carnarvon Hwy,-26.476452,148.799126,2014-10-13,12.30 pm,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,3
16,Round 1,Site 17,Maranoa RC,Carnarvon Hwy,-26.485159,148.796118,2014-10-13,1.20 pm,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,5
17,Round 1,Site 18,Maranoa RC,Carnarvon Hwy,-26.630476,148.870191,2014-10-13,10.05 am,5,0,0,3,0,3,1,0,0,0,1,0,0,0,0,0,2,0,0,3,5,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,13
18,Round 1,Site 19,Maranoa RC,Carnarvon Hwy,-26.441357,148.79566,2014-10-17,9.20 am,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,7,1,0,0,0,1,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,9,12
19,Round 1,Site 21,Balonne SC,Carnarvon Hwy,-28.06027,148.63175,2014-10-14,1.07 pm,3,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,5,6,1,0,4,11
